N,time_needed,number_of_rand_moves,quality,cost,percentage_exploration,percentage_expoitation,mem_usage,alg
5,212.31314921,866,128,1545269,0.407,0.593,1530.25
5,189.14376163,998,130,1457741,0.43,0.57,1407.43
3,0.02758145,927,27,332,0.0,1.0,0.16
3,0.00726438,975,17,105,0.0,1.0,0.03
3,0.00810957,851,25,137,0.0,1.0,0.03
3,0.01674008,937,21,267,0.0,1.0,0.06
3,0.01047277,821,27,170,0.0,1.0,0.04
4,49.12796354,807,73,620807,0.498,0.502,405.05
4,46.24327946,965,55,622187,0.498,0.502,399.51
4,46.97321343,990,50,619782,0.5,0.5,398.49
5,217.70092344,902,144,1555771,0.403,0.597,1609.97
4,50.14359498,909,47,623927,0.493,0.507,411.48
4,52.38632774,986,50,623453,0.497,0.503,401.73
4,47.41424513,907,67,628792,0.493,0.507,404.48
5,196.27560806,973,119,1495657,0.415,0.585,1473.89
5,214.49239826,925,149,1582724,0.397,0.603,1674.59
5,178.54476023,982,144,1430795,0.43,0.57,1393.6
4,0.10829711,963,83,708,0.0,1.0,6.41
4,1.2295537,871,59,9223,0.0,1.0,7.42
4,0.32459235,871,65,2368,0.0,1.0,1.77
4,0.72203398,855,67,1387,0.0,1.0,491.93
4,16.40467381,801,89,130167,0.0,1.0,120.07
4,0.70691013,896,64,5645,0.0,1.0,4.59
5,155.74696541,922,136,700681,0.0,1.0,1139.81
5,66.42913628,913,123,269610,0.0,1.0,459.3
5,1.3356514,945,133,6237,0.0,1.0,11.07
4,0.54705215,916,64,4531,0.0,1.0,3.96
4,1.51236939,831,51,13516,0.0,1.0,9.7
4,0.26373911,906,60,2316,0.0,1.0,1.43
5,257.64801741,999,137,1700819,0.378,0.622,2066.05
4,18.03514147,851,41,147995,0.0,1.0,100.15
5,151.99969602,100,48,808104,0.002,0.998,802.4
6,169.9730947,100,52,646826,0.1,0.9,888.94
3,0.03629017,400,24,550,0.0,1.0,0.19
4,60.49993587,796,48,624790,0.0,1.0,432.64
3,0.01850128,366,20,260,0.0,1.0,0.08
4,152.99414349,785,49,1520170,0.0,1.0,823.98
3,2.02147532,421,27,1371,0.0,1.0,1790.98
3,0.00263977,372,18,32,0.0,1.0,0.02
3,5.28332782,384,22,356,0.0,1.0,2881.99
4,0.42566657,754,68,4036,0.0,1.0,2.79
5,2.10859299,1078,116,11600,0.037,0.963,15.37
3,0.86214876,450,24,73,0.0,1.0,1534.75
4,0.31165719,670,62,2292,0.0,1.0,1.65
5,7.07140017,1230,138,37683,0.012,0.988,54.76
5,1.12176394,0,1,2,1.0,0.0,1367.47
